# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* AKMGFOCH_01623      K00151  720.20  785.0  8.8e-237 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
* AKMGFOCH_01624      K05921  235.50  287.9   5.1e-86 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
* AKMGFOCH_01624      K01826   56.57  128.9   6.3e-38 5-carboxymethyl-2-hydroxymuconate isomerase [EC:5.3.3.10]
* AKMGFOCH_01625      K05921  235.50  351.2  3.2e-105 5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]
* AKMGFOCH_01626      K02509  329.40  427.0  8.1e-129 2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]
* AKMGFOCH_01627      K02510  123.00  379.4  7.6e-114 4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52]
* AKMGFOCH_01629      K01775  113.77  384.9  1.8e-115 alanine racemase [EC:5.1.1.1]
* AKMGFOCH_01630      K21679  214.10  297.3   4.2e-89 hydroxysqualene synthase [EC:4.2.3.156]
* AKMGFOCH_01630      K02291  167.33  191.4   9.9e-57 15-cis-phytoene synthase [EC:2.5.1.32]
* AKMGFOCH_01631      K02291  167.33  333.4  7.5e-100 15-cis-phytoene synthase [EC:2.5.1.32]
* AKMGFOCH_01632      K21677  277.87  512.6  6.5e-154 hydroxysqualene dehydroxylase [EC:1.17.8.1]
* AKMGFOCH_01633      K06199   26.07   89.6   7.9e-26 fluoride exporter
* AKMGFOCH_01634      K21908   32.70   47.7   5.7e-13 membrane protein HdeD
* AKMGFOCH_01635      K09939   58.40  284.8   2.1e-85 uncharacterized protein
* AKMGFOCH_01637      K10094   51.83   82.3   1.4e-23 nickel transport protein
* AKMGFOCH_01638      K03734   48.90  355.5  1.5e-106 FAD:protein FMN transferase [EC:2.7.1.180]
* AKMGFOCH_01640      K07795   99.77  317.5   5.9e-95 putative tricarboxylic transport membrane protein
* AKMGFOCH_01641      K01461  875.60  949.0  1.4e-286 N-acyl-D-glutamate deacylase [EC:3.5.1.82]
* AKMGFOCH_01641      K06015  129.47  604.0  1.6e-181 N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
* AKMGFOCH_01648      K17218  237.43  394.9  2.5e-118 sulfide:quinone oxidoreductase [EC:1.8.5.4]
* AKMGFOCH_01650      K03695 1073.97 1277.5         0 ATP-dependent Clp protease ATP-binding subunit ClpB
* AKMGFOCH_01652      K01420  201.53  266.5   9.2e-80 CRP/FNR family transcriptional regulator, anaerobic regulatory protein
* AKMGFOCH_01656      K22278   71.83   91.9   1.4e-26 peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
* AKMGFOCH_01657      K07795   99.77  230.7   1.3e-68 putative tricarboxylic transport membrane protein
* AKMGFOCH_01661      K03566  205.53  284.5   5.2e-85 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_01662      K07795   99.77  287.0     1e-85 putative tricarboxylic transport membrane protein
* AKMGFOCH_01663      K03761  455.13  651.4  4.4e-196 MFS transporter, MHS family, alpha-ketoglutarate permease
* AKMGFOCH_01666      K01515  143.83  216.3   3.7e-64 ADP-ribose pyrophosphatase [EC:3.6.1.13 3.6.1.-]
* AKMGFOCH_01669      K20533  285.13  444.6  2.7e-133 type IV secretion system protein TrbI
* AKMGFOCH_01670      K20532  178.33  419.6  4.4e-126 type IV secretion system protein TrbG
* AKMGFOCH_01671      K20531   84.63  355.5  5.2e-107 type IV secretion system protein TrbF
* AKMGFOCH_01672      K07344   91.47  345.9  2.1e-103 type IV secretion system protein TrbL
* AKMGFOCH_01673      K20266   54.53  146.4   4.4e-43 type IV secretion system protein TrbJ
* AKMGFOCH_01674      K20266   54.53  333.5  7.5e-100 type IV secretion system protein TrbJ
* AKMGFOCH_01675      K20530  497.27 1465.5         0 type IV secretion system protein TrbE [EC:7.4.2.8]
* AKMGFOCH_01676      K20529   52.63  118.3   1.4e-34 type IV secretion system protein TrbD
* AKMGFOCH_01677      K20528   69.30  145.7   3.8e-43 type IV secretion system protein TrbC
* AKMGFOCH_01678      K20527  298.27  526.7  1.3e-158 type IV secretion system protein TrbB [EC:7.4.2.8]
* AKMGFOCH_01680      K03205  129.53  628.5  5.6e-189 type IV secretion system protein VirD4 [EC:7.4.2.8]
* AKMGFOCH_01685      K07240   42.83  125.8   8.4e-37 chromate transporter
* AKMGFOCH_01686      K04564   52.03  155.9     5e-46 superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
* AKMGFOCH_01692      K03496  136.40  150.2     4e-44 chromosome partitioning protein
* AKMGFOCH_01700      K03497   53.27  114.4   2.4e-33 ParB family transcriptional regulator, chromosome partitioning protein
* AKMGFOCH_01710      K04046  271.30  539.9    3e-162 hypothetical chaperone protein
* AKMGFOCH_01713      K16088  500.73  853.7  5.9e-257 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* AKMGFOCH_01713      K02014  162.10  302.0   4.2e-90 iron complex outermembrane recepter protein
* AKMGFOCH_01714      K16088  500.73  796.0  1.6e-239 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* AKMGFOCH_01714      K02014  162.10  293.3   1.8e-87 iron complex outermembrane recepter protein
* AKMGFOCH_01715      K16088  500.73  813.2    1e-244 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* AKMGFOCH_01715      K02014  162.10  306.4     2e-91 iron complex outermembrane recepter protein
* AKMGFOCH_01716      K12243  196.07  295.0   3.3e-88 AraC family transcriptional regulator, transcriptional activator of the genes for pyochelin and ferripyochelin receptors
* AKMGFOCH_01717      K13633  283.13  292.2   2.1e-87 AraC family transcriptional regulator, transcriptional activator FtrA
* AKMGFOCH_01720      K09954   74.17  123.1   1.7e-36 uncharacterized protein
* AKMGFOCH_01722      K03790  111.80  133.8   3.2e-39 [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
* AKMGFOCH_01723      K00799   63.80  126.3   7.1e-37 glutathione S-transferase [EC:2.5.1.18]
* AKMGFOCH_01726      K07795   99.77  335.3  2.4e-100 putative tricarboxylic transport membrane protein
* AKMGFOCH_01728      K10218  168.60  230.9   8.5e-69 4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17]
* AKMGFOCH_01729      K00058  319.77  325.6   1.5e-97 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
* AKMGFOCH_01731      K07795   99.77  327.6     5e-98 putative tricarboxylic transport membrane protein
* AKMGFOCH_01732      K07795   99.77  317.7     5e-95 putative tricarboxylic transport membrane protein
* AKMGFOCH_01734      K06079   69.50   99.3   1.3e-28 copper homeostasis protein (lipoprotein)
* AKMGFOCH_01737      K01455  105.50  736.1  1.7e-221 formamidase [EC:3.5.1.49]
* AKMGFOCH_01741      K03719  128.80  151.0   1.7e-44 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* AKMGFOCH_01743      K02031  437.70  893.2  8.9e-269 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_01743      K02032  423.43  457.3  4.7e-137 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_01744      K02035  246.87  385.1  2.3e-115 peptide/nickel transport system substrate-binding protein
* AKMGFOCH_01745      K02033  271.33  385.4  1.9e-115 peptide/nickel transport system permease protein
* AKMGFOCH_01746      K02034  258.23  331.2   4.2e-99 peptide/nickel transport system permease protein
* AKMGFOCH_01748      K03827  130.03  197.1   1.7e-58 putative acetyltransferase [EC:2.3.1.-]
* AKMGFOCH_01753      K08305   78.87  288.5   5.3e-86 membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]
* AKMGFOCH_01757      K21053  367.57  531.6  2.9e-160 adenine deaminase [EC:3.5.4.2]
* AKMGFOCH_01759      K07795   99.77  282.4   2.5e-84 putative tricarboxylic transport membrane protein
* AKMGFOCH_01761      K08166  433.90  539.9  1.5e-162 MFS transporter, DHA2 family, methylenomycin A resistance protein
* AKMGFOCH_01763      K07795   99.77  284.3   6.9e-85 putative tricarboxylic transport membrane protein
* AKMGFOCH_01765      K03824   72.00  221.4   4.9e-66 putative acetyltransferase [EC:2.3.1.-]
* AKMGFOCH_01766      K06989   84.43  176.2   4.7e-52 aspartate dehydrogenase [EC:1.4.1.21]
* AKMGFOCH_01767      K02471  389.70  778.1  2.1e-234 vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein
* AKMGFOCH_01770      K07795   99.77  280.0   1.4e-83 putative tricarboxylic transport membrane protein
* AKMGFOCH_01772      K04762   53.10  157.9   1.6e-46 ribosome-associated heat shock protein Hsp15
* AKMGFOCH_01773      K22468  308.70  527.6    1e-158 polyphosphate kinase [EC:2.7.4.34]
* AKMGFOCH_01776      K01761  499.47  536.4  1.6e-161 methionine-gamma-lyase [EC:4.4.1.11]
* AKMGFOCH_01777      K02072  177.53  322.0   2.2e-96 D-methionine transport system permease protein
* AKMGFOCH_01778      K02071  328.77  468.2  1.1e-140 D-methionine transport system ATP-binding protein
* AKMGFOCH_01779      K02073   97.27  353.2  6.9e-106 D-methionine transport system substrate-binding protein
* AKMGFOCH_01780      K08973   45.50   99.6   6.6e-29 protoporphyrinogen IX oxidase [EC:1.3.99.-]
* AKMGFOCH_01782      K04033  138.77  148.4   1.4e-43 AraC family transcriptional regulator, ethanolamine operon transcriptional activator
* AKMGFOCH_01783      K04940  211.57  426.6  3.2e-128 opine dehydrogenase [EC:1.5.1.28]
* AKMGFOCH_01785      K01467  236.83  441.9    9e-133 beta-lactamase class C [EC:3.5.2.6]
* AKMGFOCH_01786      K00285  399.97  522.3  3.9e-157 D-amino-acid dehydrogenase [EC:1.4.5.1]
* AKMGFOCH_01787      K00666  585.27  594.9  1.2e-178 fatty-acyl-CoA synthase [EC:6.2.1.-]
* AKMGFOCH_01788      K00626   69.50  156.1   5.3e-46 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* AKMGFOCH_01791      K00059  266.63  276.3   1.9e-82 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* AKMGFOCH_01792      K00249  374.13  382.8  1.3e-114 acyl-CoA dehydrogenase [EC:1.3.8.7]
* AKMGFOCH_01793      K01796  335.03  437.0  4.2e-131 alpha-methylacyl-CoA racemase [EC:5.1.99.4]
* AKMGFOCH_01797      K02030   87.10  147.9   1.3e-43 polar amino acid transport system substrate-binding protein
* AKMGFOCH_01798      K02029  212.03  235.6   3.4e-70 polar amino acid transport system permease protein
* AKMGFOCH_01799      K02028  376.33  440.0  4.2e-132 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* AKMGFOCH_01799      K06857  270.63  271.9   2.3e-81 tungstate transport system ATP-binding protein [EC:7.3.2.6]
* AKMGFOCH_01801      K13021  517.40  551.7  3.9e-166 MFS transporter, ACS family, tartrate transporter
* AKMGFOCH_01802      K01459  234.80  525.7  9.7e-159 N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
* AKMGFOCH_01803      K06016  471.57  548.5  5.9e-165 beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
* AKMGFOCH_01804      K01751  244.40  534.5  7.4e-161 diaminopropionate ammonia-lyase [EC:4.3.1.15]
* AKMGFOCH_01806      K07090   40.10   88.3   1.9e-25 uncharacterized protein
* AKMGFOCH_01807      K06998  106.37  171.6   1.1e-50 trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
* AKMGFOCH_01808      K00375  380.70  524.1  1.5e-157 GntR family transcriptional regulator / MocR family aminotransferase
* AKMGFOCH_01809      K00523  374.80  551.0  1.1e-165 CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]
* AKMGFOCH_01811      K07223  144.93  482.5  3.2e-145 porphyrinogen peroxidase [EC:1.11.1.-]
* AKMGFOCH_01822      K12410  225.83  233.1   1.8e-69 NAD-dependent deacetylase [EC:2.3.1.286]
* AKMGFOCH_01825      K08169  391.37  490.7    1e-147 MFS transporter, DHA2 family, multidrug resistance protein
* AKMGFOCH_01826      K02033  271.33  369.8  9.7e-111 peptide/nickel transport system permease protein
* AKMGFOCH_01827      K02034  258.23  288.6   3.4e-86 peptide/nickel transport system permease protein
* AKMGFOCH_01828      K02035  246.87  322.4   2.3e-96 peptide/nickel transport system substrate-binding protein
* AKMGFOCH_01830      K02031  437.70  849.1  1.9e-255 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_01830      K02032  423.43  461.1  3.4e-138 peptide/nickel transport system ATP-binding protein
* AKMGFOCH_01831      K16841   96.63  172.5   5.4e-51 allantoin racemase [EC:5.1.99.3]
* AKMGFOCH_01833      K01459  234.80  510.0  6.1e-154 N-carbamoyl-D-amino-acid hydrolase [EC:3.5.1.77]
* AKMGFOCH_01834      K01464  403.63  610.8  1.3e-183 dihydropyrimidinase [EC:3.5.2.2]
* AKMGFOCH_01837      K04750   59.27  177.8   1.2e-52 PhnB protein
* AKMGFOCH_01838      K09983   41.10  253.1   9.6e-76 uncharacterized protein
* AKMGFOCH_01841      K11068  168.13  293.3   8.8e-88 hemolysin III
* AKMGFOCH_01843      K07090   40.10  107.7   2.3e-31 uncharacterized protein
* AKMGFOCH_01850      K00626   69.50  181.5   1.1e-53 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* AKMGFOCH_01852      K21395  108.40  192.8   4.6e-57 TRAP-type transport system periplasmic protein
* AKMGFOCH_01854      K11690  203.20  469.8  3.7e-141 C4-dicarboxylate transporter, DctM subunit
* AKMGFOCH_01856      K02362  111.37  193.1   3.9e-57 enterobactin synthetase component D [EC:6.3.2.14 2.7.8.-]
* AKMGFOCH_01857      K00626   69.50  523.8  2.1e-157 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* AKMGFOCH_01859      K00799   63.80   64.5   3.8e-18 glutathione S-transferase [EC:2.5.1.18]
* AKMGFOCH_01861      K01990  259.07  281.9   3.6e-84 ABC-2 type transport system ATP-binding protein
* AKMGFOCH_01862      K07675  241.43  244.3     1e-72 two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]
* AKMGFOCH_01864      K15576  510.13  561.6  5.5e-169 nitrate/nitrite transport system substrate-binding protein
* AKMGFOCH_01865      K15577  274.80  387.4  1.6e-116 nitrate/nitrite transport system permease protein
* AKMGFOCH_01865      K02050  137.87  193.9   1.6e-57 NitT/TauT family transport system permease protein
* AKMGFOCH_01867      K01725   77.63  217.5   7.1e-65 cyanate lyase [EC:4.2.1.104]
* AKMGFOCH_01868      K00868  127.23  222.0   4.9e-66 pyridoxine kinase [EC:2.7.1.35]
* AKMGFOCH_01875      K03832   34.37   36.4     2e-09 periplasmic protein TonB
* AKMGFOCH_01876      K03559   28.97  119.3   8.7e-35 biopolymer transport protein ExbD
* AKMGFOCH_01877      K03561   55.23  152.8   6.9e-45 biopolymer transport protein ExbB
* AKMGFOCH_01880      K07165   43.50  167.3   2.7e-49 transmembrane sensor
* AKMGFOCH_01881      K03088   59.37   74.4   4.2e-21 RNA polymerase sigma-70 factor, ECF subfamily
* AKMGFOCH_01883      K21449   14.83   74.5   2.1e-21 trimeric autotransporter adhesin
* AKMGFOCH_01884      K07165   43.50  165.3     1e-48 transmembrane sensor
* AKMGFOCH_01885      K03088   59.37   68.2   3.2e-19 RNA polymerase sigma-70 factor, ECF subfamily
* AKMGFOCH_01888      K06995   52.83   78.7   1.9e-22 uncharacterized protein
* AKMGFOCH_01889      K23779   86.67   98.2   2.6e-28 XRE family transcriptional regulator, regulator of sulfur utilization
* AKMGFOCH_01891      K00799   63.80   84.2   4.1e-24 glutathione S-transferase [EC:2.5.1.18]
* AKMGFOCH_01892      K07795   99.77  329.5   1.3e-98 putative tricarboxylic transport membrane protein
* AKMGFOCH_01895      K07687  201.70  240.0   1.1e-71 two-component system, NarL family, captular synthesis response regulator RcsB
* AKMGFOCH_01896      K07677  701.60  905.5  2.6e-272 two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]
* AKMGFOCH_01900      K07346  179.47  202.6   3.9e-60 fimbrial chaperone protein
* AKMGFOCH_01904      K07795   99.77  292.8   1.8e-87 putative tricarboxylic transport membrane protein
* AKMGFOCH_01905      K00020  288.63  332.7   1.5e-99 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* AKMGFOCH_01906      K01607   19.80  128.0   1.6e-37 4-carboxymuconolactone decarboxylase [EC:4.1.1.44]
* AKMGFOCH_01907      K01999  174.37  249.8   2.5e-74 branched-chain amino acid transport system substrate-binding protein
* AKMGFOCH_01908      K01997  143.13  254.1   7.7e-76 branched-chain amino acid transport system permease protein
* AKMGFOCH_01909      K01998  236.27  289.4   1.7e-86 branched-chain amino acid transport system permease protein
* AKMGFOCH_01910      K01995  308.67  379.1  1.5e-113 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_01911      K01996  320.37  386.6    8e-116 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_01914      K13075  115.73  151.0   1.9e-44 N-acyl homoserine lactone hydrolase [EC:3.1.1.81]
* AKMGFOCH_01918      K02050  137.87  207.9   9.5e-62 NitT/TauT family transport system permease protein
* AKMGFOCH_01920      K08172  484.47  485.2  6.8e-146 MFS transporter, MHS family, shikimate and dehydroshikimate transport protein
* AKMGFOCH_01923      K00615  220.47  260.8   1.1e-77 transketolase [EC:2.2.1.1]
* AKMGFOCH_01924      K03566  205.53  298.7   2.5e-89 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_01925      K00217  283.23  510.1  1.2e-153 maleylacetate reductase [EC:1.3.1.32]
* AKMGFOCH_01926      K07795   99.77  311.8   3.2e-93 putative tricarboxylic transport membrane protein
* AKMGFOCH_01928      K07795   99.77  337.3  5.6e-101 putative tricarboxylic transport membrane protein
* AKMGFOCH_01929      K24012  662.93  771.8  4.5e-232 acetate---CoA ligase (ADP-forming) [EC:6.2.1.13]
* AKMGFOCH_01930      K15866  288.70  298.4   3.4e-89 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]
* AKMGFOCH_01930      K01692  227.13  234.7   8.5e-70 enoyl-CoA hydratase [EC:4.2.1.17]
* AKMGFOCH_01932      K12678  293.03  317.9   6.5e-95 autotransporter family porin
* AKMGFOCH_01938      K12678  293.03  294.1   9.7e-88 autotransporter family porin
* AKMGFOCH_01939      K02171   56.23   88.7   1.3e-25 BlaI family transcriptional regulator, penicillinase repressor
* AKMGFOCH_01940      K07262  229.37  269.8   1.4e-80 serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]
* AKMGFOCH_01940      K02172  145.53  178.3   8.2e-53 bla regulator protein blaR1
* AKMGFOCH_01941      K22335  584.33  607.9  5.3e-184 beta-lactamase class D OXA-114 [EC:3.5.2.6]
* AKMGFOCH_01942      K16568  110.33  137.6     2e-40 exopolysaccharide production protein ExoZ
* AKMGFOCH_01943      K01432  145.43  174.8   1.2e-51 arylformamidase [EC:3.5.1.9]
* AKMGFOCH_01945      K05713  179.57  269.3   1.4e-80 2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]
* AKMGFOCH_01948      K03781   76.57  771.0    6e-232 catalase [EC:1.11.1.6]
* AKMGFOCH_01949      K19595  468.83  546.7  8.3e-165 membrane fusion protein, gold/copper resistance efflux system
* AKMGFOCH_01949      K03585  257.10  333.7  8.8e-100 membrane fusion protein, multidrug efflux system
* AKMGFOCH_01950      K19594 1890.20 2133.7         0 gold/copper resistance efflux pump
* AKMGFOCH_01951      K18139  391.37  536.3  3.7e-161 outer membrane protein, multidrug efflux system
* AKMGFOCH_01956      K21395  108.40  141.9   1.2e-41 TRAP-type transport system periplasmic protein
* AKMGFOCH_01957      K21929   36.47  189.9   2.8e-56 uracil-DNA glycosylase [EC:3.2.2.27]
* AKMGFOCH_01960      K21395  108.40  284.2   8.8e-85 TRAP-type transport system periplasmic protein
* AKMGFOCH_01961      K11690  203.20  326.0   1.3e-97 C4-dicarboxylate transporter, DctM subunit
* AKMGFOCH_01961      K21394  105.97  108.6   1.2e-31 TRAP-type transport system small permease protein
* AKMGFOCH_01963      K01559  538.87  706.5  2.5e-213 3-oxoisoapionate-4-phosphate transcarboxylase/hydrolase [EC:3.7.1.28]
* AKMGFOCH_01964      K23247  344.80  532.9  1.9e-160 3-oxoisoapionate kinase [EC:2.7.1.231]
* AKMGFOCH_01968      K01584  889.30 1159.4         0 arginine decarboxylase [EC:4.1.1.19]
* AKMGFOCH_01970      K07402   68.33  296.8   1.1e-88 xanthine dehydrogenase accessory factor
* AKMGFOCH_01971      K07141   99.73  152.7   6.6e-45 molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]
* AKMGFOCH_01972      K07303  596.53  878.5  1.7e-264 isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
* AKMGFOCH_01973      K07302  246.17  292.5   1.3e-87 isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
* AKMGFOCH_01977      K05835  171.17  198.4   3.4e-59 threonine efflux protein
* AKMGFOCH_01978      K06998  106.37  217.8   9.6e-65 trans-2,3-dihydro-3-hydroxyanthranilate isomerase [EC:5.3.3.17]
* AKMGFOCH_01981      K04065   51.57   80.3   9.5e-23 hyperosmotically inducible periplasmic protein
* AKMGFOCH_01984      K08995   37.87  196.5   2.5e-58 putative membrane protein
* AKMGFOCH_01989      K08678  500.43  521.8    4e-157 UDP-glucuronate decarboxylase [EC:4.1.1.35]
* AKMGFOCH_01993      K00612  342.93  774.8    6e-233 carbamoyltransferase [EC:2.1.3.-]
* AKMGFOCH_01995      K03273  151.80  248.0   6.7e-74 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
* AKMGFOCH_01997      K15521  321.67  496.3  4.9e-149 D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]
* AKMGFOCH_02003      K16052  236.60  268.6   4.3e-80 MscS family membrane protein
* AKMGFOCH_02011      K07300   81.27  155.1   7.7e-46 Ca2+:H+ antiporter
* AKMGFOCH_02013      K06131  262.43  379.4  1.3e-113 cardiolipin synthase A/B [EC:2.7.8.-]
* AKMGFOCH_02014      K07027   77.80   80.4   4.5e-23 glycosyltransferase 2 family protein
* AKMGFOCH_02015      K00703  129.03  500.2  3.5e-150 starch synthase [EC:2.4.1.21]
* AKMGFOCH_02016      K16147  239.27 1044.8         0 starch synthase (maltosyl-transferring) [EC:2.4.99.16]
* AKMGFOCH_02017      K05343  492.27 1456.2         0 maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
* AKMGFOCH_02018      K00700  288.73  904.5    3e-272 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
* AKMGFOCH_02019      K01214  926.53 1036.5         0 isoamylase [EC:3.2.1.68]
* AKMGFOCH_02020      K01236  431.33  731.5  3.7e-220 maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141]
* AKMGFOCH_02021      K00705   87.30  635.6  5.5e-191 4-alpha-glucanotransferase [EC:2.4.1.25]
* AKMGFOCH_02022      K06044  441.37  975.1  1.5e-293 (1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
* AKMGFOCH_02023      K11735  603.63  643.0  1.1e-193 GABA permease
* AKMGFOCH_02024      K07726   43.90   83.3   7.9e-24 putative transcriptional regulator
* AKMGFOCH_02028      K13021  517.40  554.9    4e-167 MFS transporter, ACS family, tartrate transporter
* AKMGFOCH_02030      K03566  205.53  286.9   9.7e-86 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* AKMGFOCH_02031      K01971  157.53  335.9  2.1e-100 bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
* AKMGFOCH_02032      K10979  100.53  425.0  1.8e-127 DNA end-binding protein Ku
* AKMGFOCH_02036      K07794   44.67   83.3   6.8e-24 putative tricarboxylic transport membrane protein
* AKMGFOCH_02037      K07793   63.37  638.8  4.1e-192 putative tricarboxylic transport membrane protein
* AKMGFOCH_02039      K01438  289.00  297.6   7.3e-89 acetylornithine deacetylase [EC:3.5.1.16]
* AKMGFOCH_02040      K18201  120.37  297.2   7.3e-89 hydroxylysine kinase [EC:2.7.1.81]
* AKMGFOCH_02042      K00375  380.70  518.4  7.7e-156 GntR family transcriptional regulator / MocR family aminotransferase
* AKMGFOCH_02045      K07165   43.50  250.3   1.8e-74 transmembrane sensor
* AKMGFOCH_02046      K02014  162.10  326.8   1.3e-97 iron complex outermembrane recepter protein
* AKMGFOCH_02047      K02014  162.10  266.6   2.2e-79 iron complex outermembrane recepter protein
* AKMGFOCH_02050      K02013  262.67  267.1   1.2e-79 iron complex transport system ATP-binding protein [EC:7.2.2.-]
* AKMGFOCH_02051      K02015  331.70  357.5  4.5e-107 iron complex transport system permease protein
* AKMGFOCH_02052      K02016  150.73  157.3   2.4e-46 iron complex transport system substrate-binding protein
* AKMGFOCH_02060      K03710  167.27  184.4   1.7e-54 GntR family transcriptional regulator
* AKMGFOCH_02061      K01857  397.07  599.1  2.6e-180 3-carboxy-cis,cis-muconate cycloisomerase [EC:5.5.1.2]
* AKMGFOCH_02062      K07795   99.77  297.2   8.3e-89 putative tricarboxylic transport membrane protein
* AKMGFOCH_02063      K01676  360.97  489.4  4.9e-147 fumarate hydratase, class I [EC:4.2.1.2]
* AKMGFOCH_02065      K18336  329.80  450.9  1.4e-135 2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]
* AKMGFOCH_02066      K18335  379.50  408.8  2.6e-123 2-dehydro-3-deoxy-L-fuconate 4-dehydrogenase [EC:1.1.1.434]
* AKMGFOCH_02070      K00615  220.47  262.3   3.8e-78 transketolase [EC:2.2.1.1]
* AKMGFOCH_02071      K13654  187.10  187.3   9.4e-56 GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator
* AKMGFOCH_02072      K00005  322.70  374.2  2.2e-112 glycerol dehydrogenase [EC:1.1.1.6]
* AKMGFOCH_02073      K18013  108.70  301.4     4e-90 3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]
* AKMGFOCH_02074      K13247  288.13  345.4  1.3e-103 L-gulonate 3-dehydrogenase [EC:1.1.1.45]
* AKMGFOCH_02076      K01999  174.37  252.9     3e-75 branched-chain amino acid transport system substrate-binding protein
* AKMGFOCH_02077      K01997  143.13  278.6   2.7e-83 branched-chain amino acid transport system permease protein
* AKMGFOCH_02078      K01995  308.67  376.3  1.1e-112 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_02078      K01998  236.27  299.9   1.1e-89 branched-chain amino acid transport system permease protein
* AKMGFOCH_02079      K01996  320.37  384.2  4.3e-115 branched-chain amino acid transport system ATP-binding protein
* AKMGFOCH_02080      K00344  274.93  370.8  3.9e-111 NADPH:quinone reductase [EC:1.6.5.5]
* AKMGFOCH_02082      K02014  162.10  269.8   2.3e-80 iron complex outermembrane recepter protein
* AKMGFOCH_02083      K06911   93.27  147.7   2.3e-43 quercetin 2,3-dioxygenase [EC:1.13.11.24]
* AKMGFOCH_02085      K07795   99.77  306.0   1.8e-91 putative tricarboxylic transport membrane protein
* AKMGFOCH_02089      K01681 1311.80 1389.0         0 aconitate hydratase [EC:4.2.1.3]
* AKMGFOCH_02090      K03286  121.67  142.2   7.7e-42 OmpA-OmpF porin, OOP family
