# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* APNAJNJK_00618      K02028  376.33  459.3  5.6e-138 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]
* APNAJNJK_00619      K01525  161.00  407.2  1.8e-122 bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]
* APNAJNJK_00620      K11720  198.77  286.8   9.4e-86 lipopolysaccharide export system permease protein
* APNAJNJK_00621      K03814  245.03  323.1   9.7e-97 monofunctional glycosyltransferase [EC:2.4.1.129]
* APNAJNJK_00622      K00014  263.03  317.7   2.4e-95 shikimate dehydrogenase [EC:1.1.1.25]
* APNAJNJK_00623      K03832   34.37   60.7   7.6e-17 periplasmic protein TonB
* APNAJNJK_00625      K02011  340.00  407.8  2.3e-122 iron(III) transport system permease protein
* APNAJNJK_00626      K02012  205.13  236.1     3e-70 iron(III) transport system substrate-binding protein
* APNAJNJK_00627      K07649  413.20  630.7  8.1e-190 two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
* APNAJNJK_00628      K07774  291.13  292.0   1.2e-87 two-component system, OmpR family, response regulator TctD
* APNAJNJK_00629      K01147  394.53  700.3  1.4e-210 exoribonuclease II [EC:3.1.13.1]
* APNAJNJK_00630      K07000   75.63  239.9     1e-71 uncharacterized protein
* APNAJNJK_00631      K02558  387.63  754.3  2.6e-227 UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]
* APNAJNJK_00632      K02199   93.00  114.6   1.8e-33 cytochrome c biogenesis protein CcmG, thiol:disulfide interchange protein DsbE
* APNAJNJK_00633      K03786  108.10  251.8   2.6e-75 3-dehydroquinate dehydratase II [EC:4.2.1.10]
* APNAJNJK_00634      K02160   90.23  207.1   9.8e-62 acetyl-CoA carboxylase biotin carboxyl carrier protein
* APNAJNJK_00635      K01961  731.60  792.2  8.8e-239 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
* APNAJNJK_00636      K02687  108.20  322.9   1.6e-96 ribosomal protein L11 methyltransferase [EC:2.1.1.-]
* APNAJNJK_00638      K00856  111.37  115.2   9.4e-34 adenosine kinase [EC:2.7.1.20]
* APNAJNJK_00639      K06077   43.60  188.7   7.6e-56 outer membrane lipoprotein SlyB
* APNAJNJK_00640      K14188   55.87   57.9   3.6e-16 D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]
* APNAJNJK_00640      K02078   40.60   42.5   2.6e-11 acyl carrier protein
* APNAJNJK_00641      K03740  159.43  344.8  2.8e-103 D-alanine transfer protein
* APNAJNJK_00643      K03739  278.23  316.1   1.2e-94 membrane protein involved in D-alanine export
* APNAJNJK_00645      K02221   23.27   78.1   2.5e-22 YggT family protein
* APNAJNJK_00648      K00526  138.90  526.4    2e-158 ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
* APNAJNJK_00649      K00525  363.50  817.9  2.9e-246 ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
* APNAJNJK_00650      K04090  594.67 1625.8         0 indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
* APNAJNJK_00651      K03719  128.80  196.2   2.5e-58 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00652      K07795   99.77  271.0   7.2e-81 putative tricarboxylic transport membrane protein
* APNAJNJK_00657      K01885  311.33  576.0  4.4e-173 glutamyl-tRNA synthetase [EC:6.1.1.17]
* APNAJNJK_00658      K09181  786.83  820.0  7.4e-247 acetyltransferase
* APNAJNJK_00660      K02050  137.87  191.8   6.7e-57 NitT/TauT family transport system permease protein
* APNAJNJK_00663      K06999   89.90  205.1   5.6e-61 phospholipase/carboxylesterase
* APNAJNJK_00664      K09889   71.73  216.9     1e-64 ribosome-associated protein
* APNAJNJK_00665      K03592  302.37  595.5    5e-179 PmbA protein
* APNAJNJK_00667      K01999  174.37  285.3   4.2e-85 branched-chain amino acid transport system substrate-binding protein
* APNAJNJK_00668      K01997  143.13  216.3   2.1e-64 branched-chain amino acid transport system permease protein
* APNAJNJK_00670      K01998  236.27  284.3   5.7e-85 branched-chain amino acid transport system permease protein
* APNAJNJK_00671      K01995  308.67  436.2  7.5e-131 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00672      K01996  320.37  386.8  6.5e-116 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00673      K02871   72.37  237.9   7.1e-71 large subunit ribosomal protein L13
* APNAJNJK_00674      K02996  109.60  199.5   3.7e-59 small subunit ribosomal protein S9
* APNAJNJK_00675      K00145  138.70  469.5  3.2e-141 N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
* APNAJNJK_00677      K15724  157.90  212.8     1e-63 iron-sulfur cluster insertion protein
* APNAJNJK_00678      K09001   78.00  489.9  3.1e-147 anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
* APNAJNJK_00679      K19304  162.70  221.0   1.1e-65 murein DD-endopeptidase [EC:3.4.24.-]
* APNAJNJK_00680      K01866   87.73  378.8  2.4e-113 tyrosyl-tRNA synthetase [EC:6.1.1.1]
* APNAJNJK_00682      K05834  159.47  205.9   1.6e-61 homoserine/homoserine lactone efflux protein
* APNAJNJK_00683      K00600   80.80  665.6  3.6e-200 glycine hydroxymethyltransferase [EC:2.1.2.1]
* APNAJNJK_00684      K07738   41.93  239.3   1.3e-71 transcriptional repressor NrdR
* APNAJNJK_00687      K11752  203.97  487.3  3.7e-146 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
* APNAJNJK_00690      K07180  291.33  784.1  3.4e-236 serine protein kinase
* APNAJNJK_00691      K09786  195.50  462.6  4.5e-139 uncharacterized protein
* APNAJNJK_00692      K06415  225.70  653.7  8.5e-197 stage V sporulation protein R
* APNAJNJK_00695      K01821   30.90   49.0   2.2e-13 4-oxalocrotonate tautomerase [EC:5.3.2.6]
* APNAJNJK_00697      K07396   62.73   65.8   1.2e-18 putative protein-disulfide isomerase
* APNAJNJK_00699      K07795   99.77  296.7   1.1e-88 putative tricarboxylic transport membrane protein
* APNAJNJK_00703      K07315  141.93  301.6   3.2e-90 phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
* APNAJNJK_00705      K01775  113.77  316.8   7.4e-95 alanine racemase [EC:5.1.1.1]
* APNAJNJK_00706      K04757   52.83   78.0     3e-22 serine/threonine-protein kinase RsbW [EC:2.7.11.1]
* APNAJNJK_00707      K04749   63.73   88.7   1.7e-25 anti-sigma B factor antagonist
* APNAJNJK_00710      K00767  217.57  405.3  1.3e-121 nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]
* APNAJNJK_00711      K07795   99.77  315.6     2e-94 putative tricarboxylic transport membrane protein
* APNAJNJK_00713      K07397   60.80  100.6   4.7e-29 putative redox protein
* APNAJNJK_00714      K00208  272.57  401.0  1.3e-120 enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
* APNAJNJK_00715      K08307  148.33  518.4  1.3e-155 membrane-bound lytic murein transglycosylase D [EC:4.2.2.-]
* APNAJNJK_00716      K01069  144.50  246.0   1.8e-73 hydroxyacylglutathione hydrolase [EC:3.1.2.6]
* APNAJNJK_00718      K03469   80.67  213.0   2.5e-63 ribonuclease HI [EC:3.1.26.4]
* APNAJNJK_00719      K03585  257.10  324.9   3.9e-97 membrane fusion protein, multidrug efflux system
* APNAJNJK_00720      K03296 1134.77 1175.2         0 hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family
* APNAJNJK_00721      K02342  102.23  190.9   1.3e-56 DNA polymerase III subunit epsilon [EC:2.7.7.7]
* APNAJNJK_00724      K09768   57.73  239.3   1.4e-71 uncharacterized protein
* APNAJNJK_00726      K07080   85.37  238.0   8.6e-71 uncharacterized protein
* APNAJNJK_00727      K03312  121.47  378.2  1.6e-113 glutamate:Na+ symporter, ESS family
* APNAJNJK_00729      K20534  339.23  452.6    7e-136 polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
* APNAJNJK_00736      K01998  236.27  280.2     1e-83 branched-chain amino acid transport system permease protein
* APNAJNJK_00737      K01997  143.13  274.2   5.7e-82 branched-chain amino acid transport system permease protein
* APNAJNJK_00738      K01999  174.37  185.2   9.2e-55 branched-chain amino acid transport system substrate-binding protein
* APNAJNJK_00739      K01996  320.37  320.8   6.7e-96 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00740      K01995  308.67  361.9  2.3e-108 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00741      K21062  295.90  419.2  4.6e-126 1-pyrroline-4-hydroxy-2-carboxylate deaminase [EC:3.5.4.22]
* APNAJNJK_00742      K06889  117.50  162.7   3.7e-48 uncharacterized protein
* APNAJNJK_00744      K06518   37.53  126.9   2.9e-37 holin-like protein
* APNAJNJK_00746      K11249  110.20  126.1   3.9e-37 cysteine/O-acetylserine efflux protein
* APNAJNJK_00751      K02355  519.00 1171.2         0 elongation factor G
* APNAJNJK_00753      K03719  128.80  207.3   1.1e-61 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00756      K02013  262.67  278.5     4e-83 iron complex transport system ATP-binding protein [EC:7.2.2.-]
* APNAJNJK_00757      K02015  331.70  384.9  2.2e-115 iron complex transport system permease protein
* APNAJNJK_00759      K03640  145.83  174.8   9.5e-52 peptidoglycan-associated lipoprotein
* APNAJNJK_00760      K03641  124.00  249.8   2.2e-74 TolB protein
* APNAJNJK_00761      K03646   68.67  151.6   1.6e-44 colicin import membrane protein
* APNAJNJK_00762      K03560  150.20  150.6   1.7e-44 biopolymer transport protein TolR
* APNAJNJK_00762      K03559   28.97  111.4   2.1e-32 biopolymer transport protein ExbD
* APNAJNJK_00763      K03562  258.70  323.2     9e-97 biopolymer transport protein TolQ
* APNAJNJK_00763      K03561   55.23  171.8   1.1e-50 biopolymer transport protein ExbB
* APNAJNJK_00764      K07107   67.73  151.4   1.3e-44 acyl-CoA thioester hydrolase [EC:3.1.2.-]
* APNAJNJK_00765      K01881  162.90  480.2  4.3e-144 prolyl-tRNA synthetase [EC:6.1.1.15]
* APNAJNJK_00766      K08311   72.23  331.1   1.5e-99 putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]
* APNAJNJK_00767      K07774  291.13  319.9   3.7e-96 two-component system, OmpR family, response regulator TctD
* APNAJNJK_00768      K07649  413.20  472.1  8.7e-142 two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]
* APNAJNJK_00769      K07794   44.67   85.6   1.2e-24 putative tricarboxylic transport membrane protein
* APNAJNJK_00770      K07793   63.37  607.3  1.3e-182 putative tricarboxylic transport membrane protein
* APNAJNJK_00771      K12972  244.93  403.0  2.7e-121 glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
* APNAJNJK_00773      K01118   97.07  254.2   6.2e-76 FMN-dependent NADH-azoreductase [EC:1.7.1.17]
* APNAJNJK_00774      K00042  395.27  419.8  3.7e-126 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
* APNAJNJK_00774      K00020  288.63  382.6    1e-114 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
* APNAJNJK_00775      K00681  533.17  602.3  4.9e-181 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
* APNAJNJK_00776      K07793   63.37  688.8    3e-207 putative tricarboxylic transport membrane protein
* APNAJNJK_00777      K07794   44.67   95.7   9.7e-28 putative tricarboxylic transport membrane protein
* APNAJNJK_00779      K09888   22.30   69.4     1e-19 cell division protein ZapA
* APNAJNJK_00781      K13292   46.30  337.4  4.9e-101 phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]
* APNAJNJK_00782      K01687  581.27  881.1  2.6e-265 dihydroxy-acid dehydratase [EC:4.2.1.9]
* APNAJNJK_00784      K07304   40.10  251.8     3e-75 peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
* APNAJNJK_00785      K00457  238.37  364.8    4e-109 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]
* APNAJNJK_00786      K03719  128.80  215.5   3.2e-64 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00795      K03566  205.53  343.0  8.2e-103 LysR family transcriptional regulator, glycine cleavage system transcriptional activator
* APNAJNJK_00797      K01451  524.50  554.9  8.9e-167 hippurate hydrolase [EC:3.5.1.32]
* APNAJNJK_00799      K15738  632.83  852.1  1.4e-256 ABC transport system ATP-binding/permease protein
* APNAJNJK_00800      K03925   35.40  140.7   1.6e-41 transcriptional regulator MraZ
* APNAJNJK_00801      K03438  314.70  406.4  4.3e-122 16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
* APNAJNJK_00802      K03586   41.60   61.2   4.7e-17 cell division protein FtsL
* APNAJNJK_00803      K03587  466.33  717.8  5.9e-216 cell division protein FtsI (penicillin-binding protein 3) [EC:3.4.16.4]
* APNAJNJK_00804      K15792  824.47 1282.7         0 MurE/MurF fusion protein [EC:6.3.2.13 6.3.2.10]
* APNAJNJK_00804      K01928  402.50  739.1  1.1e-222 UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
* APNAJNJK_00804      K01929  327.17  656.6  1.1e-197 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
* APNAJNJK_00805      K01000  172.00  434.7  1.1e-130 phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
* APNAJNJK_00806      K01925  370.30  570.1  2.3e-171 UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
* APNAJNJK_00807      K03588  347.00  430.0  3.3e-129 cell division protein FtsW
* APNAJNJK_00808      K02563  145.03  423.1  5.3e-127 UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
* APNAJNJK_00809      K01924  382.73  632.6  3.1e-190 UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
* APNAJNJK_00810      K01921  111.70  435.8  6.8e-131 D-alanine-D-alanine ligase [EC:6.3.2.4]
* APNAJNJK_00810      K00075  208.60  294.7   4.7e-88 UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
* APNAJNJK_00811      K03589   43.87  148.4   1.3e-43 cell division protein FtsQ
* APNAJNJK_00812      K03590  124.67  517.2  2.4e-155 cell division protein FtsA
* APNAJNJK_00813      K03531  148.60  473.3  2.7e-142 cell division protein FtsZ
* APNAJNJK_00814      K02535  308.67  403.5  2.8e-121 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]
* APNAJNJK_00816      K19304  162.70  177.2   2.3e-52 murein DD-endopeptidase [EC:3.4.24.-]
* APNAJNJK_00817      K03070  312.40 1297.5         0 preprotein translocase subunit SecA [EC:7.4.2.8]
* APNAJNJK_00820      K07795   99.77  294.0   7.5e-88 putative tricarboxylic transport membrane protein
* APNAJNJK_00821      K01652  506.80  542.2  6.7e-163 acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
* APNAJNJK_00822      K24700  113.13  116.1   5.6e-34 3-mercaptopropionate dioxygenase [EC:1.13.11.91]
* APNAJNJK_00824      K05800  201.23  247.2   4.2e-74 Lrp/AsnC family transcriptional regulator
* APNAJNJK_00824      K03719  128.80  178.2   7.9e-53 Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein
* APNAJNJK_00825      K07232   51.60  174.1   1.2e-51 glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
* APNAJNJK_00826      K12973   87.03  260.9   1.8e-78 lipid IVA palmitoyltransferase [EC:2.3.1.251]
* APNAJNJK_00827      K06213  107.13  535.0  7.8e-161 magnesium transporter
* APNAJNJK_00828      K10806  118.33  236.1   2.6e-70 acyl-CoA thioesterase YciA [EC:3.1.2.-]
* APNAJNJK_00830      K21703  289.37  305.4   2.5e-91 LysR family transcriptional regulator, low CO2-responsive transcriptional regulator
* APNAJNJK_00831      K01451  524.50  586.8  2.1e-176 hippurate hydrolase [EC:3.5.1.32]
* APNAJNJK_00832      K01897  432.13  459.5    7e-138 long-chain acyl-CoA synthetase [EC:6.2.1.3]
* APNAJNJK_00833      K01092  200.40  293.3     7e-88 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]
* APNAJNJK_00834      K15461  171.43  661.7  4.8e-199 tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
* APNAJNJK_00836      K02071  328.77  479.2    5e-144 D-methionine transport system ATP-binding protein
* APNAJNJK_00837      K02072  177.53  354.1  3.7e-106 D-methionine transport system permease protein
* APNAJNJK_00838      K02073   97.27  416.8  3.2e-125 D-methionine transport system substrate-binding protein
* APNAJNJK_00841      K23514  168.77  202.6   1.3e-60 RNA polymerase sigma-19 factor, ECF subfamily
* APNAJNJK_00841      K03088   59.37   66.2   1.2e-18 RNA polymerase sigma-70 factor, ECF subfamily
* APNAJNJK_00842      K07165   43.50  162.5   6.9e-48 transmembrane sensor
* APNAJNJK_00843      K16088  500.73  868.5  1.7e-261 outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
* APNAJNJK_00843      K02014  162.10  284.7   6.9e-85 iron complex outermembrane recepter protein
* APNAJNJK_00844      K09022   75.57   77.3     5e-22 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* APNAJNJK_00846      K05874  646.33  669.9  1.8e-201 methyl-accepting chemotaxis protein I, serine sensor receptor
* APNAJNJK_00846      K03406   64.93  406.6  6.8e-122 methyl-accepting chemotaxis protein
* APNAJNJK_00849      K03711  139.53  152.5   6.6e-45 Fur family transcriptional regulator, ferric uptake regulator
* APNAJNJK_00852      K03928  130.90  288.2   3.7e-86 carboxylesterase [EC:3.1.1.1]
* APNAJNJK_00853      K06940   33.60   52.5   1.8e-14 uncharacterized protein
* APNAJNJK_00854      K01246   40.47  294.9   2.6e-88 DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
* APNAJNJK_00856      K07290  317.67  822.3  1.3e-247 AsmA family protein
* APNAJNJK_00859      K00059  266.63  290.6   8.4e-87 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
* APNAJNJK_00862      K01118   97.07  164.0   1.8e-48 FMN-dependent NADH-azoreductase [EC:1.7.1.17]
* APNAJNJK_00864      K03286  121.67  151.4   1.2e-44 OmpA-OmpF porin, OOP family
* APNAJNJK_00864      K04062   45.20   47.3   5.8e-13 osmotically inducible lipoprotein OsmB
* APNAJNJK_00865      K01724   20.03  150.7   2.1e-44 4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]
* APNAJNJK_00868      K05712  407.47  546.7  2.4e-164 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
* APNAJNJK_00870      K00992  187.23  338.9  8.5e-102 N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
* APNAJNJK_00871      K07102  155.33  446.3  5.5e-134 N-acetylmuramate 1-kinase [EC:2.7.1.221]
* APNAJNJK_00872      K04744  108.37  762.4  2.7e-229 LPS-assembly protein
* APNAJNJK_00873      K03771  199.30  439.2    1e-131 peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
* APNAJNJK_00874      K02528  253.43  325.4   1.5e-97 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]
* APNAJNJK_00875      K00865   61.90  533.8  1.4e-160 glycerate 2-kinase [EC:2.7.1.165]
* APNAJNJK_00876      K00873   50.87  560.9  1.3e-168 pyruvate kinase [EC:2.7.1.40]
* APNAJNJK_00877      K06373  152.57  208.1   3.4e-62 spore maturation protein A
* APNAJNJK_00877      K06374  146.83  188.9   2.4e-56 spore maturation protein B
* APNAJNJK_00878      K06445  286.47 1094.1         0 acyl-CoA dehydrogenase [EC:1.3.99.-]
* APNAJNJK_00879      K01462   68.73  200.5   1.5e-59 peptide deformylase [EC:3.5.1.88]
* APNAJNJK_00880      K01759   73.73  175.3   4.2e-52 lactoylglutathione lyase [EC:4.4.1.5]
* APNAJNJK_00881      K03430  305.40  419.2    1e-125 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]
* APNAJNJK_00883      K00655  120.67  173.5   2.1e-51 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
* APNAJNJK_00884      K03273  151.80  226.7   1.9e-67 D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
* APNAJNJK_00885      K01879  553.60  787.0  1.1e-236 glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
* APNAJNJK_00886      K01878  509.10  629.2  1.1e-189 glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
* APNAJNJK_00887      K01692  227.13  257.3   1.1e-76 enoyl-CoA hydratase [EC:4.2.1.17]
* APNAJNJK_00888      K01676  360.97  605.6  3.2e-182 fumarate hydratase, class I [EC:4.2.1.2]
* APNAJNJK_00889      K03406   64.93  202.5   4.6e-60 methyl-accepting chemotaxis protein
* APNAJNJK_00891      K01041  547.47  670.2  2.9e-202 glutaryl-CoA transferase [EC:2.8.3.-]
* APNAJNJK_00895      K07795   99.77  302.7   1.6e-90 putative tricarboxylic transport membrane protein
* APNAJNJK_00896      K00459  104.33  260.8   1.2e-77 nitronate monooxygenase [EC:1.13.12.16]
* APNAJNJK_00897      K07795   99.77  295.0   3.6e-88 putative tricarboxylic transport membrane protein
* APNAJNJK_00899      K00626   69.50   93.8   3.8e-27 acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
* APNAJNJK_00900      K07068   34.70  126.7   3.9e-37 uncharacterized protein
* APNAJNJK_00903      K15866  288.70  355.5  1.5e-106 2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase [EC:5.3.3.18]
* APNAJNJK_00903      K01692  227.13  240.9     1e-71 enoyl-CoA hydratase [EC:4.2.1.17]
* APNAJNJK_00905      K18291  373.00  449.4  1.2e-135 itaconyl-CoA hydratase / mesaconyl-C4 CoA hydratase [EC:4.2.1.56 4.2.1.-]
* APNAJNJK_00905      K09709  186.70  355.4  1.3e-106 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]
* APNAJNJK_00906      K18289  438.57  659.9  3.6e-199 itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]
* APNAJNJK_00907      K18292  309.47  341.2  1.5e-102 (S)-citramalyl-CoA lyase [EC:4.1.3.25]
* APNAJNJK_00907      K01644  151.40  312.5   1.5e-93 citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
* APNAJNJK_00908      K18478  258.47  280.5   5.5e-84 sulfofructose kinase [EC:2.7.1.184]
* APNAJNJK_00909      K00950   43.03  194.2   1.3e-57 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
* APNAJNJK_00910      K00970  341.63  458.2  1.7e-137 poly(A) polymerase [EC:2.7.7.19]
* APNAJNJK_00912      K10763  171.20  251.0   4.1e-75 DnaA-homolog protein
* APNAJNJK_00913      K01933  191.03  583.4  2.3e-175 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
* APNAJNJK_00915      K00791  181.63  373.5  6.2e-112 tRNA dimethylallyltransferase [EC:2.5.1.75]
* APNAJNJK_00916      K03572  424.93  735.7  1.4e-221 DNA mismatch repair protein MutL
* APNAJNJK_00917      K03975   63.63  253.5   8.7e-76 membrane-associated protein
* APNAJNJK_00918      K16087  355.57  363.1  1.3e-108 hemoglobin/transferrin/lactoferrin receptor protein
* APNAJNJK_00919      K01448   35.50  241.5   4.4e-72 N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
* APNAJNJK_00920      K01679  625.50  852.1  9.6e-257 fumarate hydratase, class II [EC:4.2.1.2]
* APNAJNJK_00921      K13936  208.73  223.8   1.2e-66 malonate transporter and related proteins
* APNAJNJK_00922      K07795   99.77  315.7   1.9e-94 putative tricarboxylic transport membrane protein
* APNAJNJK_00924      K00681  533.17  637.1  1.4e-191 gamma-glutamyltranspeptidase / glutathione hydrolase [EC:2.3.2.2 3.4.19.13]
* APNAJNJK_00927      K07795   99.77  337.0  6.5e-101 putative tricarboxylic transport membrane protein
* APNAJNJK_00932      K15054  478.73  490.2    1e-147 (S)-mandelate dehydrogenase [EC:1.1.99.31]
* APNAJNJK_00933      K07795   99.77  300.4   8.3e-90 putative tricarboxylic transport membrane protein
* APNAJNJK_00937      K01433  209.13  494.7  1.8e-148 formyltetrahydrofolate deformylase [EC:3.5.1.10]
* APNAJNJK_00938      K00109  436.83  481.0  1.7e-144 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
* APNAJNJK_00940      K00275   30.93  339.4  1.3e-101 pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
* APNAJNJK_00941      K07232   51.60  177.0   1.6e-52 glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
* APNAJNJK_00943      K13888  369.60  517.1  9.3e-156 membrane fusion protein, macrolide-specific efflux system
* APNAJNJK_00943      K02005  222.07  255.8   3.6e-76 HlyD family secretion protein
* APNAJNJK_00944      K05685  523.73  984.8  6.7e-297 macrolide transport system ATP-binding/permease protein [EC:7.6.2.-]
* APNAJNJK_00944      K02003  296.60  351.8  2.3e-105 putative ABC transport system ATP-binding protein
* APNAJNJK_00944      K02004   46.10  105.4   7.3e-31 putative ABC transport system permease protein
* APNAJNJK_00953      K02003  296.60  314.8   3.6e-94 putative ABC transport system ATP-binding protein
* APNAJNJK_00954      K02004   46.10   90.4   2.6e-26 putative ABC transport system permease protein
* APNAJNJK_00957      K22132  161.93  279.9   1.2e-83 tRNA threonylcarbamoyladenosine dehydratase
* APNAJNJK_00958      K14578  131.70  158.8     1e-47 naphthalene 1,2-dioxygenase ferredoxin component
* APNAJNJK_00958      K05710  109.43  123.4   3.7e-36 3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
* APNAJNJK_00959      K18243  184.57  251.9   7.4e-76 salicylate 5-hydroxylase small subunit [EC:1.14.13.172]
* APNAJNJK_00960      K18242  603.50  803.4  1.2e-242 salicylate 5-hydroxylase large subunit [EC:1.14.13.172]
* APNAJNJK_00961      K18297  276.63  303.0   1.1e-90 LysR family transcriptional regulator, mexEF-oprN operon transcriptional activator
* APNAJNJK_00964      K03701  344.53 2561.6         0 excinuclease ABC subunit A
* APNAJNJK_00966      K01625  188.97  214.8   8.9e-64 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]
* APNAJNJK_00967      K00874  250.63  304.4   5.9e-91 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
* APNAJNJK_00971      K01996  320.37  378.4  2.3e-113 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00972      K01995  308.67  467.7  2.1e-140 branched-chain amino acid transport system ATP-binding protein
* APNAJNJK_00972      K01998  236.27  289.4   1.6e-86 branched-chain amino acid transport system permease protein
* APNAJNJK_00973      K01997  143.13  185.2   5.7e-55 branched-chain amino acid transport system permease protein
* APNAJNJK_00974      K01999  174.37  228.0   9.8e-68 branched-chain amino acid transport system substrate-binding protein
* APNAJNJK_00976      K01475  265.17  328.3   8.3e-99 isatin hydrolase [EC:3.5.2.20]
