locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKMGFOCH_01153	CDS	1158	nicC	1.14.13.114		6-hydroxynicotinate 3-monooxygenase
AKMGFOCH_01154	CDS	834	nicD	3.5.1.106		N-formylmaleamate deformylase
AKMGFOCH_01155	CDS	1074	nicX	1.13.11.9	COG2309	2,5-dihydroxypyridine 5,6-dioxygenase
AKMGFOCH_01156	CDS	654	nicF	3.5.1.107	COG1335	Maleamate amidohydrolase
AKMGFOCH_01157	CDS	2316	nicB_2	1.17.2.1	COG1529	Nicotinate dehydrogenase subunit B
AKMGFOCH_01158	CDS	1287	mdeA_1	4.4.1.11		L-methionine gamma-lyase
AKMGFOCH_01159	CDS	513	decR_1		COG1522	DNA-binding transcriptional activator DecR
AKMGFOCH_01160	CDS	1119				Outer membrane porin protein
AKMGFOCH_01161	CDS	714	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
AKMGFOCH_01162	CDS	972			COG1840	putative protein
AKMGFOCH_01163	CDS	1656				hypothetical protein
AKMGFOCH_01164	CDS	1044	pleD			Response regulator PleD
AKMGFOCH_01165	CDS	1017	cheB_2	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
AKMGFOCH_01166	CDS	2262	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
AKMGFOCH_01167	CDS	681				hypothetical protein
AKMGFOCH_01168	CDS	1332	wspC	2.1.1.-	COG0457	putative biofilm formation methyltransferase WspC
AKMGFOCH_01169	CDS	516				hypothetical protein
AKMGFOCH_01170	CDS	1620				hypothetical protein
AKMGFOCH_01171	CDS	1473	aam_1	3.5.1.13	COG0154	Acylamidase
AKMGFOCH_01172	CDS	552				hypothetical protein
AKMGFOCH_01173	CDS	1578				hypothetical protein
AKMGFOCH_01174	CDS	885	dmlR_4			HTH-type transcriptional regulator DmlR
AKMGFOCH_01175	CDS	1506	stp_2			Multidrug resistance protein Stp
AKMGFOCH_01176	CDS	405	ctb		COG2346	Group 3 truncated hemoglobin ctb
AKMGFOCH_01177	CDS	2271	dinG	3.1.-.-		3'-5' exonuclease DinG
AKMGFOCH_01178	CDS	1755	fan1	3.1.4.1		Fanconi-associated nuclease 1 
AKMGFOCH_01179	CDS	513				hypothetical protein
AKMGFOCH_01180	CDS	948	tsaR_1			HTH-type transcriptional regulator TsaR
AKMGFOCH_01181	CDS	1710		3.1.4.-		Multifunctional alkaline phosphatase superfamily protein
AKMGFOCH_01182	CDS	507				hypothetical protein
AKMGFOCH_01183	CDS	999				hypothetical protein
AKMGFOCH_01184	CDS	243				hypothetical protein
AKMGFOCH_01185	CDS	672				hypothetical protein
AKMGFOCH_01186	CDS	1317		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
AKMGFOCH_01187	CDS	1776		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
AKMGFOCH_01188	CDS	714		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
AKMGFOCH_01189	CDS	585				hypothetical protein
AKMGFOCH_01190	CDS	759	yurK		COG2188	putative HTH-type transcriptional regulator YurK
AKMGFOCH_01191	CDS	1722	eryB	1.1.1.402	COG0578	D-erythritol 1-phosphate dehydrogenase
AKMGFOCH_01192	CDS	1491	lyx	2.7.1.-	COG1070	L-xylulose/3-keto-L-gulonate kinase
AKMGFOCH_01193	CDS	1035				hypothetical protein
AKMGFOCH_01194	CDS	1524	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
AKMGFOCH_01195	CDS	1032	rbsC		COG1172	Ribose import permease protein RbsC
AKMGFOCH_01196	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
AKMGFOCH_01197	CDS	852	lsrF	2.3.1.245	COG1830	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
AKMGFOCH_01198	CDS	1401	ribZ_1			Riboflavin transporter RibZ
AKMGFOCH_01199	CDS	918	pcpR_4			PCP degradation transcriptional activation protein
AKMGFOCH_01200	CDS	996	rhaS_1			HTH-type transcriptional activator RhaS
AKMGFOCH_01201	CDS	492				hypothetical protein
AKMGFOCH_01202	CDS	978				hypothetical protein
AKMGFOCH_01203	CDS	1521	argH_3	4.3.2.1		Argininosuccinate lyase
AKMGFOCH_01204	CDS	900				hypothetical protein
AKMGFOCH_01205	CDS	1239	pbuE_2		COG2814	Purine efflux pump PbuE
AKMGFOCH_01206	CDS	1020	dmlR_5			HTH-type transcriptional regulator DmlR
AKMGFOCH_01207	CDS	411	cueR		COG0789	HTH-type transcriptional regulator CueR
AKMGFOCH_01208	CDS	768				hypothetical protein
AKMGFOCH_01209	CDS	1341	rstB_3	2.7.13.3		Sensor protein RstB
AKMGFOCH_01210	CDS	447				hypothetical protein
AKMGFOCH_01211	CDS	726				hypothetical protein
AKMGFOCH_01212	CDS	705	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
AKMGFOCH_01213	CDS	834	nimR_3			HTH-type transcriptional regulator NimR
AKMGFOCH_01214	CDS	975	ephA_1	3.3.2.10		Epoxide hydrolase A
AKMGFOCH_01215	CDS	432				hypothetical protein
AKMGFOCH_01216	CDS	864	hcaB_3	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
AKMGFOCH_01217	CDS	939	rhaS_2			HTH-type transcriptional activator RhaS
AKMGFOCH_01218	CDS	1209				hypothetical protein
AKMGFOCH_01219	CDS	1014				hypothetical protein
AKMGFOCH_01220	CDS	594				hypothetical protein
AKMGFOCH_01221	CDS	660				hypothetical protein
AKMGFOCH_01222	CDS	480				hypothetical protein
AKMGFOCH_01223	CDS	381				hypothetical protein
AKMGFOCH_01224	CDS	312				hypothetical protein
AKMGFOCH_01225	CDS	963				Zinc-type alcohol dehydrogenase-like protein
AKMGFOCH_01226	CDS	897				hypothetical protein
AKMGFOCH_01227	CDS	918	metR_1			HTH-type transcriptional regulator MetR
AKMGFOCH_01228	CDS	582	sfnF	1.5.1.42	COG0431	NADH-dependent FMN reductase SfnF
AKMGFOCH_01229	CDS	981				hypothetical protein
AKMGFOCH_01230	CDS	1029	xecA1	4.4.1.23		2-hydroxypropyl-CoM lyase
AKMGFOCH_01231	CDS	390				hypothetical protein
AKMGFOCH_01232	CDS	903	dmlR_6			HTH-type transcriptional regulator DmlR
AKMGFOCH_01233	CDS	1620	emrB_1			Multidrug export protein EmrB
AKMGFOCH_01234	CDS	1593	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
AKMGFOCH_01235	CDS	1461	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
AKMGFOCH_01236	CDS	609				hypothetical protein
AKMGFOCH_01237	CDS	390				hypothetical protein
AKMGFOCH_01238	CDS	1293				hypothetical protein
AKMGFOCH_01239	CDS	594				hypothetical protein
AKMGFOCH_01240	CDS	891	hcaR_3			Hca operon transcriptional activator HcaR
AKMGFOCH_01241	CDS	996				hypothetical protein
AKMGFOCH_01242	CDS	966		1.1.1.215	COG1052	2-ketogluconate reductase
AKMGFOCH_01243	CDS	429				hypothetical protein
AKMGFOCH_01244	CDS	210				hypothetical protein
AKMGFOCH_01245	CDS	288				hypothetical protein
AKMGFOCH_01246	CDS	936				hypothetical protein
AKMGFOCH_01247	CDS	981				hypothetical protein
AKMGFOCH_01248	CDS	1524	aam_2	3.5.1.13	COG0154	Acylamidase
AKMGFOCH_01249	CDS	327				hypothetical protein
AKMGFOCH_01250	CDS	969				hypothetical protein
AKMGFOCH_01251	CDS	1476	hpyO	1.14.13.-	COG2072	FAD-dependent urate hydroxylase
AKMGFOCH_01252	CDS	975	dppB_3		COG0601	Dipeptide transport system permease protein DppB
AKMGFOCH_01253	CDS	912	ddpC_1		COG1173	putative D,D-dipeptide transport system permease protein DdpC
AKMGFOCH_01254	CDS	1023	oppD_3		COG0444	Oligopeptide transport ATP-binding protein OppD
AKMGFOCH_01255	CDS	1134	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AKMGFOCH_01256	CDS	1572	hbpA_1		COG0747	Heme-binding protein A
AKMGFOCH_01257	CDS	1359				hypothetical protein
AKMGFOCH_01258	CDS	1170				hypothetical protein
AKMGFOCH_01259	CDS	900	oxyR_2			Hydrogen peroxide-inducible genes activator
AKMGFOCH_01260	CDS	993				hypothetical protein
AKMGFOCH_01261	CDS	1047	yjmC_1	1.1.1.-	COG2055	putative oxidoreductase YjmC
AKMGFOCH_01262	CDS	972				hypothetical protein
AKMGFOCH_01263	CDS	771				hypothetical protein
AKMGFOCH_01264	CDS	804				hypothetical protein
AKMGFOCH_01265	CDS	858				hypothetical protein
AKMGFOCH_01266	CDS	216				hypothetical protein
AKMGFOCH_01267	CDS	873				hypothetical protein
AKMGFOCH_01268	CDS	546				hypothetical protein
AKMGFOCH_01269	CDS	1914				hypothetical protein
AKMGFOCH_01270	CDS	429				hypothetical protein
AKMGFOCH_01271	CDS	453				hypothetical protein
AKMGFOCH_01272	CDS	987				hypothetical protein
AKMGFOCH_01273	CDS	999				hypothetical protein
AKMGFOCH_01274	CDS	1230	uctC_2	2.8.3.19		Acetyl-CoA:oxalate CoA-transferase
AKMGFOCH_01275	CDS	846	mcl2_2	3.1.2.30	COG2301	(3S)-malyl-CoA thioesterase
AKMGFOCH_01276	CDS	882	oxyR_3			Hydrogen peroxide-inducible genes activator
AKMGFOCH_01277	CDS	864	pheA_1			Bifunctional chorismate mutase/prephenate dehydratase
AKMGFOCH_01278	CDS	444				hypothetical protein
AKMGFOCH_01279	CDS	603				hypothetical protein
AKMGFOCH_01280	CDS	1491				hypothetical protein
AKMGFOCH_01281	CDS	1467				hypothetical protein
AKMGFOCH_01282	CDS	939				hypothetical protein
AKMGFOCH_01283	CDS	2196	fhuE		COG4773	FhuE receptor
AKMGFOCH_01284	CDS	594				hypothetical protein
AKMGFOCH_01285	CDS	669				hypothetical protein
AKMGFOCH_01286	CDS	1146	hmo	1.1.3.46		4-hydroxymandelate oxidase
AKMGFOCH_01287	CDS	423				hypothetical protein
AKMGFOCH_01288	CDS	834				hypothetical protein
AKMGFOCH_01289	CDS	1176				hypothetical protein
AKMGFOCH_01290	CDS	2148	fhuA_7		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKMGFOCH_01291	CDS	939				hypothetical protein
AKMGFOCH_01292	CDS	900	pgrR_6			HTH-type transcriptional regulator PgrR
AKMGFOCH_01293	CDS	909				hypothetical protein
AKMGFOCH_01294	CDS	450				hypothetical protein
AKMGFOCH_01295	CDS	786	aphA_2	2.7.1.95		Aminoglycoside 3'-phosphotransferase
AKMGFOCH_01296	CDS	756				hypothetical protein
AKMGFOCH_01297	CDS	798				hypothetical protein
AKMGFOCH_01298	CDS	477				hypothetical protein
AKMGFOCH_01299	CDS	1302	murA_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
AKMGFOCH_01300	CDS	795	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AKMGFOCH_01301	CDS	1347	pucI		COG1953	putative allantoin permease
AKMGFOCH_01302	CDS	1380				hypothetical protein
AKMGFOCH_01303	CDS	996				hypothetical protein
AKMGFOCH_01304	CDS	744	tsaC1	1.2.1.62		4-formylbenzenesulfonate dehydrogenase TsaC1/TsaC2
AKMGFOCH_01305	CDS	834		3.1.1.2		Arylesterase
AKMGFOCH_01306	CDS	663	slmA_1			Nucleoid occlusion factor SlmA
AKMGFOCH_01307	CDS	669	trmR_2	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
AKMGFOCH_01308	CDS	1353				hypothetical protein
AKMGFOCH_01309	CDS	993				hypothetical protein
AKMGFOCH_01310	CDS	924	yjiE_1			HTH-type transcriptional regulator YjiE
AKMGFOCH_01311	CDS	939	nanA	4.1.3.3	COG0329	N-acetylneuraminate lyase
AKMGFOCH_01312	CDS	969				hypothetical protein
AKMGFOCH_01313	CDS	705	entA	1.3.1.28	COG1028	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
AKMGFOCH_01314	CDS	561				hypothetical protein
AKMGFOCH_01315	CDS	372	crcB_1		COG0239	Putative fluoride ion transporter CrcB
AKMGFOCH_01316	CDS	1473				hypothetical protein
AKMGFOCH_01317	CDS	918	yjiE_2			HTH-type transcriptional regulator YjiE
AKMGFOCH_01318	CDS	954				hypothetical protein
AKMGFOCH_01319	CDS	987				hypothetical protein
AKMGFOCH_01320	CDS	1260				hypothetical protein
AKMGFOCH_01321	CDS	1362	qseC_1	2.7.13.3		Sensor protein QseC
AKMGFOCH_01322	CDS	690	qseB_1			Transcriptional regulatory protein QseB
AKMGFOCH_01323	CDS	762				hypothetical protein
AKMGFOCH_01324	CDS	585				hypothetical protein
AKMGFOCH_01325	CDS	1626	trg_1		COG0840	Methyl-accepting chemotaxis protein III
AKMGFOCH_01326	CDS	4050	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
AKMGFOCH_01327	CDS	552				hypothetical protein
AKMGFOCH_01328	CDS	1299	dctM_3		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
AKMGFOCH_01329	CDS	1032			COG1638	putative protein
AKMGFOCH_01330	CDS	552	greB			Transcription elongation factor GreB
AKMGFOCH_01331	CDS	846		3.1.3.97	COG0613	3',5'-nucleoside bisphosphate phosphatase
AKMGFOCH_01332	CDS	936	menH_2	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
AKMGFOCH_01333	CDS	549				hypothetical protein
AKMGFOCH_01334	CDS	1179	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
AKMGFOCH_01335	CDS	1644	alkJ_2	1.1.99.-		Alcohol dehydrogenase [acceptor]
AKMGFOCH_01336	CDS	888	cynR_4			HTH-type transcriptional regulator CynR
AKMGFOCH_01337	CDS	924				hypothetical protein
AKMGFOCH_01338	CDS	1401	gabP_1		COG1113	GABA permease
AKMGFOCH_01339	CDS	1293	puuB_2	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
AKMGFOCH_01340	CDS	912	gcvA_3			Glycine cleavage system transcriptional activator
AKMGFOCH_01341	CDS	978	argP_4			HTH-type transcriptional regulator ArgP
AKMGFOCH_01342	CDS	1326	abaF_5			Fosfomycin resistance protein AbaF
AKMGFOCH_01343	CDS	1311	ylmB_1	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
AKMGFOCH_01344	CDS	2436				hypothetical protein
AKMGFOCH_01345	CDS	792	trpA_1	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AKMGFOCH_01346	CDS	1209	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
AKMGFOCH_01347	CDS	876	trpI_3			HTH-type transcriptional regulator TrpI
AKMGFOCH_01348	CDS	1563	fliC		COG1344	Flagellin
AKMGFOCH_01349	CDS	1257				hypothetical protein
AKMGFOCH_01350	CDS	393				hypothetical protein
AKMGFOCH_01351	CDS	606				hypothetical protein
AKMGFOCH_01352	CDS	597	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
AKMGFOCH_01353	CDS	621				hypothetical protein
AKMGFOCH_01354	CDS	318	groS_1		COG0234	10 kDa chaperonin
AKMGFOCH_01355	CDS	1623	groL_1		COG0459	60 kDa chaperonin
AKMGFOCH_01356	CDS	444				hypothetical protein
AKMGFOCH_01357	CDS	387				hypothetical protein
AKMGFOCH_01358	CDS	969				hypothetical protein
AKMGFOCH_01359	CDS	768				hypothetical protein
AKMGFOCH_01360	CDS	1149		1.8.3.7	COG1262	Formylglycine-generating enzyme
AKMGFOCH_01361	CDS	972				hypothetical protein
AKMGFOCH_01362	CDS	945				hypothetical protein
AKMGFOCH_01363	CDS	501				hypothetical protein
AKMGFOCH_01364	CDS	1020				hypothetical protein
AKMGFOCH_01365	CDS	1512				hypothetical protein
AKMGFOCH_01366	CDS	1383				hypothetical protein
AKMGFOCH_01367	CDS	1023				hypothetical protein
AKMGFOCH_01368	CDS	1644		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
AKMGFOCH_01369	CDS	2538	speE_1	2.5.1.16		Polyamine aminopropyltransferase
AKMGFOCH_01370	CDS	651	leuE_2		COG1280	Leucine efflux protein
AKMGFOCH_01371	CDS	1026				hypothetical protein
AKMGFOCH_01372	CDS	1944				hypothetical protein
AKMGFOCH_01373	CDS	2472	fptA_2		COG4773	Fe(3+)-pyochelin receptor
AKMGFOCH_01374	CDS	1077				hypothetical protein
AKMGFOCH_01375	CDS	669				hypothetical protein
AKMGFOCH_01376	CDS	339	fdx_1		COG0633	2Fe-2S ferredoxin
AKMGFOCH_01377	CDS	732				hypothetical protein
AKMGFOCH_01378	CDS	762	ygfF	1.-.-.-		putative oxidoreductase YgfF
AKMGFOCH_01379	CDS	615	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
AKMGFOCH_01380	CDS	678				hypothetical protein
AKMGFOCH_01381	CDS	459				hypothetical protein
AKMGFOCH_01382	CDS	675				hypothetical protein
AKMGFOCH_01383	CDS	432				hypothetical protein
AKMGFOCH_01384	CDS	1029				hypothetical protein
AKMGFOCH_01385	CDS	822	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
AKMGFOCH_01386	CDS	2106	cntO_2		COG1629	Metal-pseudopaline receptor CntO
AKMGFOCH_01387	CDS	2106	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
AKMGFOCH_01388	CDS	759	yclP	7.2.2.-	COG4604	Petrobactin import ATP-binding protein YclP
AKMGFOCH_01389	CDS	984	yclO		COG4605	Petrobactin import system permease protein YclO
AKMGFOCH_01390	CDS	999	yclN		COG4606	Petrobactin import system permease protein YclN
AKMGFOCH_01391	CDS	963	yclQ		COG4607	Petrobactin-binding protein YclQ
AKMGFOCH_01392	CDS	2022	cirA		COG4771	Colicin I receptor
AKMGFOCH_01393	CDS	696	cpxR		COG0745	Transcriptional regulatory protein CpxR
AKMGFOCH_01394	CDS	1395	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
AKMGFOCH_01395	CDS	816	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
AKMGFOCH_01396	CDS	690	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
AKMGFOCH_01397	CDS	1281	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
AKMGFOCH_01398	CDS	939				hypothetical protein
AKMGFOCH_01399	CDS	1701	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
AKMGFOCH_01400	CDS	1311	nicT_1			Putative metabolite transport protein NicT
AKMGFOCH_01401	CDS	1260	prfB_2		COG1186	Peptide chain release factor RF2
AKMGFOCH_01402	CDS	756	yueD	1.1.1.320		Benzil reductase ((S)-benzoin forming)
AKMGFOCH_01403	CDS	1524	lysS	6.1.1.6		Lysine--tRNA ligase
AKMGFOCH_01404	CDS	324				hypothetical protein
AKMGFOCH_01405	CDS	1509	gabR_1		COG1167	HTH-type transcriptional regulatory protein GabR
AKMGFOCH_01406	CDS	1254	ydcO_1		COG3135	Inner membrane protein YdcO
AKMGFOCH_01407	CDS	828	yggS		COG0325	Pyridoxal phosphate homeostasis protein
AKMGFOCH_01408	CDS	654	betI_1			HTH-type transcriptional regulator BetI
AKMGFOCH_01409	CDS	1155	pcaF_1	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
AKMGFOCH_01410	CDS	1854		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
AKMGFOCH_01411	CDS	828	livF_4		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
AKMGFOCH_01412	CDS	1182				hypothetical protein
AKMGFOCH_01413	CDS	1038				hypothetical protein
AKMGFOCH_01414	CDS	879	livH_3		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
AKMGFOCH_01415	CDS	822	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AKMGFOCH_01416	CDS	804	crt_1	4.2.1.150	COG1024	Short-chain-enoyl-CoA hydratase
AKMGFOCH_01417	CDS	2121	fhuA_8		COG1629	Ferrichrome outer membrane transporter/phage receptor
AKMGFOCH_01418	CDS	891	mgsA	4.2.3.3		Methylglyoxal synthase
AKMGFOCH_01419	CDS	195	iscX		COG2975	Protein IscX
AKMGFOCH_01420	CDS	342	fdx_2		COG0633	2Fe-2S ferredoxin
AKMGFOCH_01421	CDS	1863	hscA		COG0443	Chaperone protein HscA
AKMGFOCH_01422	CDS	513	hscB		COG1076	Co-chaperone protein HscB 
AKMGFOCH_01423	CDS	324	iscA		COG0316	Iron-binding protein IscA
AKMGFOCH_01424	CDS	405	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
AKMGFOCH_01425	CDS	1212	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
AKMGFOCH_01426	CDS	543	iscR			HTH-type transcriptional regulator IscR
AKMGFOCH_01427	CDS	492		3.1.3.48		Putative low molecular weight protein-tyrosine-phosphatase
AKMGFOCH_01428	CDS	2121	uvrB		COG0556	UvrABC system protein B
AKMGFOCH_01429	CDS	1200	tyrB	2.6.1.57	COG1448	Aromatic-amino-acid aminotransferase
AKMGFOCH_01430	CDS	651	lexA	3.4.21.88	COG1974	LexA repressor
AKMGFOCH_01431	CDS	2451	lon	3.4.21.53	COG0466	Lon protease
AKMGFOCH_01432	CDS	1299	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
AKMGFOCH_01433	CDS	654	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
AKMGFOCH_01434	CDS	1311	tig	5.2.1.8	COG0544	Trigger factor
AKMGFOCH_01435	CDS	756	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
AKMGFOCH_01436	CDS	546				hypothetical protein
AKMGFOCH_01437	CDS	207	cspA_1		COG1278	Cold shock protein CspA
AKMGFOCH_01438	CDS	564				hypothetical protein
AKMGFOCH_01439	CDS	204	cspA_2		COG1278	putative cold shock protein A
AKMGFOCH_01440	CDS	321				hypothetical protein
AKMGFOCH_01441	CDS	399				hypothetical protein
AKMGFOCH_01442	CDS	288				hypothetical protein
AKMGFOCH_01443	CDS	273				hypothetical protein
AKMGFOCH_01444	CDS	396	yabJ_2	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
AKMGFOCH_01445	CDS	1149	dthadh	4.3.1.27		D-threo-3-hydroxyaspartate dehydratase
AKMGFOCH_01446	CDS	918	dmlR_7			HTH-type transcriptional regulator DmlR
AKMGFOCH_01447	CDS	399	rutC_2	1.-.-.-		Putative aminoacrylate peracid reductase RutC
AKMGFOCH_01448	CDS	1191				hypothetical protein
AKMGFOCH_01449	CDS	582	tetC			Transposon Tn10 TetC protein
AKMGFOCH_01450	CDS	528				hypothetical protein
AKMGFOCH_01451	CDS	306				hypothetical protein
AKMGFOCH_01452	CDS	309				hypothetical protein
AKMGFOCH_01453	CDS	858	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
AKMGFOCH_01454	CDS	960				hypothetical protein
AKMGFOCH_01455	CDS	1218				hypothetical protein
AKMGFOCH_01456	CDS	711	aqpZ		COG0580	Aquaporin Z
AKMGFOCH_01457	CDS	582	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
AKMGFOCH_01458	CDS	1557				hypothetical protein
AKMGFOCH_01459	CDS	1680	glpD2_2	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 2
AKMGFOCH_01460	CDS	1539	glpK_1	2.7.1.30	COG0554	Glycerol kinase
AKMGFOCH_01461	CDS	1458	csbC			putative metabolite transport protein CsbC
AKMGFOCH_01462	CDS	390				hypothetical protein
AKMGFOCH_01463	CDS	168				hypothetical protein
AKMGFOCH_01464	CDS	513				hypothetical protein
AKMGFOCH_01465	CDS	276				hypothetical protein
AKMGFOCH_01466	CDS	219				hypothetical protein
AKMGFOCH_01467	CDS	222				hypothetical protein
AKMGFOCH_01468	CDS	492				hypothetical protein
AKMGFOCH_01469	CDS	279				hypothetical protein
AKMGFOCH_01470	CDS	309				hypothetical protein
AKMGFOCH_01471	CDS	1134				hypothetical protein
AKMGFOCH_01472	CDS	204				hypothetical protein
AKMGFOCH_01473	CDS	1023				hypothetical protein
AKMGFOCH_01474	CDS	651				hypothetical protein
AKMGFOCH_01475	CDS	1191				hypothetical protein
AKMGFOCH_01476	CDS	345				hypothetical protein
AKMGFOCH_01477	CDS	708				hypothetical protein
AKMGFOCH_01478	CDS	825				hypothetical protein
AKMGFOCH_01479	CDS	309				hypothetical protein
AKMGFOCH_01480	CDS	546				hypothetical protein
AKMGFOCH_01481	CDS	1617				hypothetical protein
AKMGFOCH_01482	CDS	456				hypothetical protein
AKMGFOCH_01483	CDS	450				hypothetical protein
AKMGFOCH_01484	CDS	1509				hypothetical protein
AKMGFOCH_01485	CDS	528				hypothetical protein
AKMGFOCH_01486	CDS	369				hypothetical protein
AKMGFOCH_01487	CDS	477				hypothetical protein
AKMGFOCH_01488	CDS	429				hypothetical protein
AKMGFOCH_01489	CDS	351				hypothetical protein
AKMGFOCH_01490	CDS	1083				hypothetical protein
AKMGFOCH_01491	CDS	483				hypothetical protein
AKMGFOCH_01492	CDS	1266				hypothetical protein
AKMGFOCH_01493	CDS	753				hypothetical protein
AKMGFOCH_01494	CDS	1536				hypothetical protein
AKMGFOCH_01495	CDS	1353				hypothetical protein
AKMGFOCH_01496	CDS	696				hypothetical protein
AKMGFOCH_01497	CDS	264				hypothetical protein
AKMGFOCH_01498	CDS	450				hypothetical protein
AKMGFOCH_01499	CDS	210				hypothetical protein
AKMGFOCH_01500	CDS	267				hypothetical protein
AKMGFOCH_01501	CDS	369				hypothetical protein
AKMGFOCH_01502	CDS	648				hypothetical protein
AKMGFOCH_01503	CDS	213				hypothetical protein
AKMGFOCH_01504	CDS	1353	dnaB_1	3.6.4.12	COG0305	Replicative DNA helicase
AKMGFOCH_01505	CDS	918				hypothetical protein
AKMGFOCH_01506	CDS	411				hypothetical protein
AKMGFOCH_01507	CDS	456				hypothetical protein
AKMGFOCH_01508	CDS	309				hypothetical protein
AKMGFOCH_01509	CDS	174				hypothetical protein
AKMGFOCH_01510	CDS	264				hypothetical protein
AKMGFOCH_01511	CDS	1077				hypothetical protein
AKMGFOCH_01512	CDS	984				hypothetical protein
AKMGFOCH_01513	CDS	453				hypothetical protein
AKMGFOCH_01514	CDS	378				hypothetical protein
AKMGFOCH_01515	CDS	177				hypothetical protein
AKMGFOCH_01516	CDS	453				hypothetical protein
AKMGFOCH_01517	CDS	855	recE	3.1.11.-		Exodeoxyribonuclease 8
AKMGFOCH_01518	CDS	1026				hypothetical protein
AKMGFOCH_01519	CDS	540				hypothetical protein
AKMGFOCH_01520	CDS	450				hypothetical protein
AKMGFOCH_01521	CDS	507				hypothetical protein
AKMGFOCH_01522	CDS	528				hypothetical protein
AKMGFOCH_01523	CDS	963				hypothetical protein
AKMGFOCH_01524	CDS	1452				hypothetical protein
AKMGFOCH_01525	CDS	192				hypothetical protein
AKMGFOCH_01526	CDS	192				hypothetical protein
AKMGFOCH_01527	CDS	243				hypothetical protein
AKMGFOCH_01528	CDS	984	xerC_2			Tyrosine recombinase XerC
AKMGFOCH_01529	tRNA	87				tRNA-Leu(tag)
AKMGFOCH_01530	CDS	1197	dapL	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
AKMGFOCH_01531	CDS	822	dapD_1	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
